	инфляция	дисконт инфляции	рост акций	рост с учетом инфляции
1926	-1,12	0,9888	1,1162	1,128843042
1927	-2,26	0,9774	1,3749	1,406691222
1928	-1,16	0,9884	1,4361	1,45295427
1929	0,58	1,0058	0,9158	0,91051899
1930	-6,40	0,936	0,751	0,802350427
1931	-9,32	0,9068	0,5666	0,624834583
1932	-10,27	0,8973	0,9181	1,023180653
1933	0,76	1,0076	1,5399	1,528285034
1934	1,52	1,0152	0,9856	0,970843184
1935	2,99	1,0299	1,4767	1,433828527
1936	1,45	1,0145	1,3392	1,320059142
1937	2,86	1,0286	0,6497	0,631635232
1938	-2,78	0,9722	1,3112	1,348693684
1939	0,00	1	0,9959	0,9959
1940	0,71	1,0071	0,9022	0,895839539
1941	9,93	1,0993	0,8841	0,804239061
1942	9,03	1,0903	1,2034	1,103732918
1943	2,96	1,0296	1,259	1,222804973
1944	2,30	1,023	1,1975	1,170576735
1945	2,25	1,0225	1,3644	1,334376528
1946	18,13	1,1813	0,9193	0,778210446
1947	8,84	1,0884	1,0571	0,97124219
1948	2,99	1,0299	1,055	1,024371298
1949	-2,07	0,9793	1,1879	1,213009292
1950	5,93	1,0593	1,3171	1,243368262
1951	6,00	1,06	1,2402	1,17
1952	0,75	1,0075	1,1837	1,174888337
1953	0,75	1,0075	0,9901	0,982729529
1954	-0,74	0,9926	1,5262	1,537578078
1955	0,37	1,0037	1,3156	1,310750224
1956	2,99	1,0299	1,0656	1,03466356
1957	2,90	1,029	0,8922	0,867055394
1958	1,76	1,0176	1,4336	1,408805031
1959	1,73	1,0173	1,1196	1,100560307
1960	1,36	1,0136	1,0047	0,991219416
1961	0,67	1,0067	1,2689	1,260454952
1962	1,33	1,0133	0,9127	0,900720418
1963	1,64	1,0164	1,228	1,208185754
1964	0,97	1,0097	1,1648	1,153609983
1965	1,92	1,0192	1,1245	1,103316327
1966	3,46	1,0346	0,8994	0,869321477
1967	3,04	1,0304	1,2398	1,20322205
1968	4,72	1,0472	1,1106	1,060542399
1969	6,20	1,062	0,915	0,861581921
1970	5,57	1,0557	1,0401	0,985223075
1971	3,27	1,0327	1,1431	1,106904232
1972	3,41	1,0341	1,1898	1,150565709
1973	8,71	1,0871	0,8534	0,785024377
1974	12,34	1,1234	0,7353	0,654530888
1975	6,94	1,0694	1,372	1,282962409
1976	4,86	1,0486	1,2384	1,181003242
1977	6,70	1,067	0,9282	0,869915651
1978	9,02	1,0902	1,0656	0,977435333
1979	13,29	1,1329	1,1844	1,045458558
1980	12,52	1,1252	1,3242	1,176857448
1981	8,92	1,0892	0,9509	0,873026074
1982	3,83	1,0383	1,2155	1,170663585
1983	3,79	1,0379	1,2256	1,180845939
1984	3,95	1,0395	1,0627	1,022318422
1985	3,80	1,038	1,3173	1,269075145
1986	1,10	1,011	1,1867	1,173788328
1987	4,43	1,0443	1,0525	1,00785215
1988	4,42	1,0442	1,1661	1,116740088
1989	4,65	1,0465	1,3169	1,258385093
1990	6,11	1,0611	0,969	0,91320328
1991	3,06	1,0306	1,3047	1,265961576
1992	2,90	1,029	1,0762	1,045869776
1993	2,75	1,0275	1,1008	1,0713382
1994	2,67	1,0267	1,0132	0,986851076
1995	2,54	1,0254	1,3758	1,341720304
1996	3,32	1,0332	1,2296	1,190089044
1997	1,70	1,017	1,3336	1,311307768
1998	1,61	1,0161	1,2858	1,265426631
1999	2,68	1,0268	1,2104	1,178807947
2000	3,39	1,0339	0,909	0,87919528
2001	1,55	1,0155	0,8811	0,867651403
2002	2,38	1,0238	0,779	0,760890799
2003	1,88	1,0188	1,2868	1,263054574
2004	3,26	1,0326	1,1088	1,073794306
2005	3,42	1,0342	1,0491	1,014407271
2006	2,54	1,0254	1,1579	1,129217866
2007	4,08	1,0408	1,0549	1,013547271
2008	0,09	1,0009	0,63	0,62943351
2009	2,72	1,0272	1,2646	1,231113707
2010	1,50	1,015	1,1506	1,133596059
2011	2,96	1,0296	1,0211	0,991744367
2012	1,74	1,0174	1,16	1,140161195
2013	1,50	1,015	1,3239	1,304334975
2014	0,76	1,0076	1,1369	1,128324732
2015	0,73	1,0073	1,0138	1,006452894
2016	2,07	1,0207	1,1196	1,096894288
2017	2,11	1,0211	1,2183	1,193125061
2018	1,91	1,0191	0,9562	0,938278874
