Year	Average					
	Closing Price	Year Open	Year High	Year Low	Year Close	Annual
						% Change
1963	3,83	3,53	4,07	3,53	4,06	14,04%
1964	4,07	4,07	4,21	3,99	4,12	1,48%
1965	4,25	4,12	4,88	4,08	4,88	18,45%
1966	5,11	4,88	5,89	4,76	4,8	-1,64%
1967	5,1	4,84	5,91	4,38	5,78	20,42%
1968	5,7	5,68	6,36	5,42	6,33	9,52%
1969	6,93	6,29	8,33	6,11	8,22	29,86%
1970	7,38	8,19	8,3	5,85	5,98	-27,25%
1971	5,99	5,98	7,03	4,74	5,5	-8,03%
1972	5,98	5,55	6,32	5,47	6,26	13,82%
1973	6,87	6,29	8,13	6,23	6,83	9,11%
1974	7,82	6,86	8,79	6,72	7,36	7,76%
1975	7,78	7,34	8,56	6,93	7,5	1,90%
1976	7,18	7,54	7,82	5,99	6,13	-18,27%
1977	6,99	6,16	7,58	6,16	7,54	23%
1978	8,32	7,58	9,35	7,58	9,32	23,61%
1979	9,51	9,33	11,5	8,7	10,38	11,37%
1980	11,45	10,52	14,12	8,86	12,59	21,29%
1981	14,25	12,61	16,27	12,21	13,97	10,96%
1982	13,01	14,15	15,02	10,09	10,09	-27,77%
1983	10,79	10,02	11,95	9,72	11,57	14,67%
1984	12,26	11,59	13,84	10,83	11,08	-4,24%
1985	10,12	11,22	11,7	8,48	8,49	-23,38%
1986	7,3	8,51	9	6,4	6,81	-19,79%
1987	7,94	6,75	9,84	6,57	8,33	22,32%
1988	8,48	8,35	9,22	7,59	9,14	9,72%
1989	8,5	9,25	9,75	7,49	7,86	-14%
1990	8,37	7,87	9,1	7,59	7,68	-2,29%
1991	7,37	7,59	8,02	5,93	5,93	-22,79%
1992	6,19	5,98	7,14	5,18	6,04	1,85%
1993	5,14	5,9	6,05	4,57	5,21	-13,74%
1994	6,69	5,29	7,86	4,95	7,83	50,29%
1995	6,38	7,88	7,9	5,38	5,38	-31,29%
1996	6,18	5,39	6,82	5,14	6,21	15,43%
1997	6,22	6,3	6,86	5,7	5,71	-8,05%
1998	5,15	5,63	5,78	3,95	4,56	-20,14%
1999	5,55	4,57	6,36	4,48	6,36	39,47%
2000	6,16	6,5	6,83	4,92	4,99	-21,54%
2001	4,56	4,76	5,07	3,47	4,38	-12,22%
2002	3,82	4,52	4,93	2,63	2,78	-36,53%
2003	2,97	3,05	3,63	2,08	3,25	16,91%
2004	3,43	3,36	4,1	2,65	3,63	11,69%
2005	4,05	3,64	4,56	3,58	4,35	19,83%
2006	4,75	4,3	5,23	4,27	4,7	8,05%
2007	4,43	4,68	5,18	3,23	3,45	-26,60%
2008	2,8	3,28	3,73	1,26	1,55	-55,07%
2009	2,2	1,72	2,95	1,36	2,69	73,55%
2010	1,93	2,65	2,75	1,04	2,01	-25,28%
2011	1,52	2,02	2,4	0,79	0,83	-58,71%
2012	0,76	0,89	1,22	0,56	0,72	-13,25%
2013	1,17	0,76	1,85	0,65	1,75	143,06%
2014	1,64	1,72	1,85	1,37	1,65	-5,71%
2015	1,53	1,61	1,81	1,18	1,76	6,67%
2016	1,34	1,73	2,09	0,94	1,93	9,51%
2017	1,91	1,93	2,26	1,63	2,21	14,48%
2018	2,75	2,25	3,09	2,25	2,51	13,76%
2019	1,95	2,49	2,62	1,32	1,69	-32,67%
2020	0,53	1,67	1,67	0,19	0,36	-78,70%
2021	0,72	0,36	0,97	0,36	0,76	111,11%
